alpha,delta,id,diameter
251.6041666666666,-14.172777777777776,LDN148,7.0
266.6958333333333,-23.716666666666665,B281,45.0
271.525,-26.16111111111111,LDN151,38.0
269.26666666666665,-25.005277777777778,LDN150 / FeSt1-465,225.0
265.00416666666666,-22.609166666666667,LDN153,43.0
271.82499999999993,-26.259444444444444,FeSt2-322,6.0
252.45833333333331,-14.585277777777778,LDN152,61.0
265.50416666666666,-22.856944444444444,LDN154,42.0
264.49999999999994,-22.278333333333332,LDN155,76.0
272.2749999999999,-26.40722222222222,LDN157,5.5
251.7166666666666,-13.979444444444445,P21 / LM201 / LDN158-2,8.0
249.32083333333333,-12.266388888888889,LDN156,21.0
267.1333333333333,-23.682222222222222,LDN159,16.0
266.25833333333327,-23.186666666666667,LDN160,14.0
267.7625,-24.0125,LDN161,21.0
295.1583333333333,-34.79333333333333,CG11 DN / HMSTG4.9-24.6,16.0
295.1625,-34.79333333333333,CG11 Head DN / BHR169,2.5
251.95416666666665,-14.087777777777779,LDN158,15.0
252.1,-14.142222222222221,LM211 / LDN158-3,8.0
252.45416666666662,-14.335277777777778,LDN163,11.0
252.26249999999996,-14.178055555555554,LDN162 / P22,17.0
252.29999999999998,-14.17611111111111,LM213 / LM214 / LDN158-4 / LDN162-1,7.0
264.25,-21.86277777777778,LDN164,15.0
267.1208333333333,-23.441666666666666,FeSt2-323,5.0
267.15,-23.45,B282,20.0
274.0291666666666,-26.98222222222222,LDN165,14.0
238.1208333333333,-3.526944444444444,IREC3,180.0
242.77083333333331,-7.062222222222222,MBM57,20.0
270.5208333333333,-25.16583333333333,LDN166,5.5
271.5208333333333,-25.66111111111111,LDN167,23.0
263.24583333333334,-21.034444444444446,LDN168,62.0
270.7708333333333,-25.16472222222222,LDN171,34.0
266.7583333333333,-23.0175,LDN170 / FeSt1-469,61.0
238.14999999999998,-3.314722222222222,LDN169 / LDN134N,56.0
259.3375,-18.515833333333333,B64 / LDN173 / CB78 / P23 / LM230,10.0
266.1375,-22.55,B279,60.0
